North America Industry Classification System (NAICS) 2,Type of direct Investment,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, all industries",Foreign direct investment in Canada - total book value,"8,10,668","8,47,063","9,77,690","11,37,849","10,79,053","11,92,259","12,63,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, fishing and hunting  [11]",Foreign direct investment in Canada - total book value,144,182,"5,678","2,665","2,513","4,543","3,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mining, quarrying, and oil and gas extraction  [21]",Foreign direct investment in Canada - total book value,"1,72,932","1,72,745","1,77,034","1,59,083","1,09,671","1,19,180","1,30,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil and gas extraction  [211],Foreign direct investment in Canada - total book value,"1,34,715","1,33,132","1,36,071","1,02,964","75,774","83,915","90,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mining and quarrying (except oil and gas)  [212],Foreign direct investment in Canada - total book value,"24,020","24,429","23,177","33,149","13,092","24,372","26,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Support activities for mining, and oil and gas extraction  [213]",Foreign direct investment in Canada - total book value,"14,197","15,184","17,786","22,970","20,805","10,893","13,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilities  [22],Foreign direct investment in Canada - total book value,"2,091","1,590","8,630","5,982","8,868","8,610","9,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction  [23],Foreign direct investment in Canada - total book value,"3,253","3,712","5,719","9,833","9,641","10,197","10,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manufacturing  [31-33],Foreign direct investment in Canada - total book value,"1,81,367","1,77,561","1,84,021","1,78,709","1,87,517","2,07,455","2,27,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food manufacturing  [311],Foreign direct investment in Canada - total book value,"22,332","20,679","25,934","31,019","32,280","30,437","35,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
